StartTime:Replica:FinishTime:OperationTime:Result:Access:Type
955:0:1230:275:beginning:w:tx neworder
965:0:1231:266:beginning:w:tx payment 02
980:0:1230:250:beginning:w:tx delivery
938:0:1232:294:beginning:w:tx payment 02
914:0:1232:318:beginning:w:tx neworder
927:0:1230:303:beginning:w:tx neworder
975:0:1232:257:beginning:w:tx neworder
1234:0:1243:9:beginning:r:tx stocklevel
1242:0:1243:1:beginning:r:tx stocklevel
1243:0:1719:476:processing:r:tx stocklevel
1232:0:1725:493:processing:w:tx payment 02
1231:0:1725:494:processing:w:tx payment 02
1719:0:1726:7:beginning:w:tx neworder
1243:0:1727:484:processing:r:tx stocklevel
1727:0:1738:11:committing:r:tx stocklevel
735:0:1738:1003:commit:r:tx stocklevel
1719:0:1740:21:committing:r:tx stocklevel
1234:0:1740:506:commit:r:tx stocklevel
1752:0:1754:2:beginning:w:tx payment 02
1232:0:1768:536:processing:w:tx delivery
1770:0:1771:1:beginning:w:tx neworder
1791:0:1793:2:beginning:w:tx neworder
1725:0:1810:85:committing:w:tx payment 02
927:0:1811:884:commit:w:tx payment 02
1812:0:1814:2:beginning:w:tx payment 02
1852:0:1853:1:aborting:w:tx neworder
1852:0:1853:1:aborting:w:tx payment 02
1814:0:1854:40:processing:w:tx payment 02
1853:0:1854:1:aborting:w:tx neworder
1854:0:1854:0:aborting:w:tx payment 02
1854:0:1855:1:aborting:w:tx neworder
1854:0:1855:1:aborting:w:tx neworder
1853:0:1855:2:aborting:w:tx neworder
1852:0:1859:7:beginning:w:tx delivery
1854:0:1859:5:aborting:w:tx neworder
1854:0:1859:5:aborting:w:tx neworder
1867:0:1872:5:beginning:w:tx neworder
1873:0:1878:5:beginning:w:tx neworder
1873:0:1888:15:beginning:w:tx neworder
1873:0:1889:16:beginning:w:tx payment 02
1873:0:1890:17:beginning:w:tx neworder
1888:0:1890:2:beginning:r:tx orderstatus 02
1873:0:1890:17:beginning:w:tx payment 02
1873:0:1890:17:beginning:r:tx stocklevel
1873:0:1891:18:beginning:w:tx neworder
1873:0:1893:20:beginning:w:tx delivery
1873:0:1893:20:beginning:w:tx payment 02
1873:0:1894:21:beginning:w:tx payment 02
1873:0:1894:21:beginning:w:tx payment 02
1890:0:1899:9:processing:r:tx stocklevel
1899:0:1900:1:committing:r:tx stocklevel
1869:0:1900:31:commit:r:tx stocklevel
1901:0:1902:1:aborting:w:tx payment 02
1901:0:1902:1:aborting:w:tx payment 02
1905:0:1905:0:aborting:w:tx neworder
1906:0:1906:0:aborting:w:tx payment 02
1906:0:1908:2:beginning:w:tx delivery
1902:0:1911:9:aborting:w:tx payment 02
1890:0:1917:27:processing:r:tx orderstatus 02
1915:0:1918:3:beginning:w:tx payment 02
1873:0:1921:48:beginning:w:tx payment 02
1914:0:1922:8:beginning:w:tx payment 02
1917:0:1922:5:committing:r:tx orderstatus 02
1869:0:1922:53:commit:r:tx orderstatus 02
1915:0:1922:7:beginning:r:tx stocklevel
1916:0:1923:7:beginning:w:tx payment 02
1922:0:1925:3:processing:r:tx stocklevel
1925:0:1925:0:committing:r:tx stocklevel
1875:0:1926:51:commit:r:tx stocklevel
1916:0:1927:11:beginning:w:tx payment 02
1929:0:1930:1:beginning:w:tx neworder
1958:0:1960:2:beginning:w:tx neworder
1963:0:1968:5:beginning:w:tx neworder
